GEO_ID,NAME,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE,DP05_0019PE,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE
id,Geographic Area Name,Percent Male,Percent Female,Percent 5 and under,Percent 5 to 9,Percent 10 to 14,Percent 15 to 19,Percent 20 to 24,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent under 18 years,Percent 65 years and over,Percent White,Percent Black ,Percent American Indian and Alaska Native,Percent Asian,Percent Hispanic/Latino
0500000US05141,"Van Buren County, Arkansas",49.4,50.6,4.7,5.5,5.8,6,4.5,9.2,10,12.8,7.4,8.4,13.9,8.1,3.7,19.8,25.6,95,0.6,0.6,0.2,3.1
0500000US05143,"Washington County, Arkansas",49.9,50.1,6.9,7,6.7,8.2,10.5,15.1,13.2,11.1,5.3,4.7,6.8,3.3,1.3,24.5,11.4,77.2,3.7,0.9,2.5,16.8
0500000US05145,"White County, Arkansas",48.8,51.2,6.2,6,7.2,7.6,8.1,12.1,11.5,13,6.6,5.5,9.4,4.9,1.8,23.4,16.1,91.1,4.4,0.6,0.7,4.3
0500000US05147,"Woodruff County, Arkansas",46,54,5.8,7.4,5.3,4.6,5.6,9.6,10.9,13.3,8.4,6.4,13.2,7.1,2.4,21.5,22.7,69.8,28.1,0,0.9,0.5
0500000US05149,"Yell County, Arkansas",50.1,49.9,6.4,5.6,8,6.8,5.7,10.9,12.4,12.8,7.5,6.5,9.9,5.5,2.1,24.4,17.4,78.6,2.5,0.5,1.1,20.2
0500000US06001,"Alameda County, California",49.2,50.8,5.8,5.8,5.8,5.7,6.1,16.7,15,13.5,6.4,5.7,8,3.8,1.7,20.8,13.5,40.5,10.6,0.7,30.1,22.4
0500000US06003,"Alpine County, California",53.3,46.7,4.2,4.8,7,5.7,4.1,6.4,14.2,5.4,7,11.2,22.1,5.6,2.2,19.3,29.9,57.7,0.9,34,1,12.5
0500000US06005,"Amador County, California",53.7,46.3,4,3.7,4.8,4.9,3.8,10.7,11.2,13.5,8.1,8.7,16.4,6.9,3.3,15.2,26.7,86.7,2.4,0.8,1.3,13.9
0500000US06007,"Butte County, California",49.5,50.5,5.5,6.1,5.2,6.9,11,12.8,10.8,10.8,6.4,6.5,10.5,5.2,2.3,20.1,18,81.6,1.5,1.2,4.6,16.3
0500000US06009,"Calaveras County, California",49.8,50.2,4.2,5.2,4.5,5.1,4.5,9,9.5,12.2,9.1,9.2,16.6,7.9,3,17.2,27.5,90.5,0.7,0.8,1.5,12.1
